age,educ,paeduc,sex,race,yearsjob,realrinc,PASEI10
19,12,12,"male","white",2,3405,38.4
65,14,12,"male","other",38,12485,82.5
60,13,13,"female","white",8,20430,39.1
63,16,13,"female","white",.i,"IAP",19.7
36,20,14,"male","white",3,151050.7214,61.4
40,16,20,"female","other",.i,"IAP",92.8
42,18,20,"female","white",4,72640,92.1
61,14,12,"male","white",16,63560,39.9
27,16,16,"male","other",4,37455,64.5
52,14,"dk","male","white",.i,"IAP",20.7
36,12,"dk","female","black",.75,"IAP","IAP, DK, NA, uncodeable"
74,16,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
36,20,15,"male","white",2,30645,57.8
34,17,18,"male","white",5,37455,83.8
46,16,12,"male","other",15,63560,35.8
21,14,16,"female","white",.i,908,70.5
72,11,"iap","female","white",.i,45400,"IAP, DK, NA, uncodeable"
46,16,14,"male","other",4,45400,67.7
21,14,12,"female","white",.i,"IAP",87.9
46,13,13,"male","other",3,30645,49.6
53,12,12,"male","other",25,54480,31.1
74,18,"iap","female","white",.i,"IAP",48.8
70,6,6,"male","white",.i,"IAP",46
36,16,12,"female","other",2,24970,57.4
57,11,12,"male","white",.i,"IAP",53
60,16,18,"male","white",43,45400,59.1
53,12,0,"female","other",.75,10782.5,39.9
69,12,6,"male","white",28,10782.5,62
38,16,"iap","female","white",13,30645,"IAP, DK, NA, uncodeable"
48,14,16,"female","white",14,5107.5,53.7
30,16,19,"male","other",6,37455,85.2
29,13,"iap","male","white",.i,63560,"IAP, DK, NA, uncodeable"
68,16,12,"female","white",.i,"IAP",39.7
64,13,16,"female","white",.i,"IAP",46
43,16,9,"male","other",.i,"IAP",32
69,12,12,"female","white",.i,"IAP",38.3
47,12,16,"male","white",25,24970,51.9
57,12,12,"male","white",.i,"IAP",35.4
50,16,"iap","male","white",.25,"IAP","IAP, DK, NA, uncodeable"
25,12,11,"female","other",.i,"IAP",48.8
75,14,"iap","male","white",.i,"IAP","IAP, DK, NA, uncodeable"
46,14,12,"male","white",22,54480,53.6
77,10,"dk","female","white",.i,"IAP",52.4
18,11,"iap","female","black",.i,"IAP",46.2
62,12,12,"female","white",.i,"IAP","IAP, DK, NA, uncodeable"
30,15,"dk","female","white",4,8512.5,23
70,7,0,"female","other",.i,"IAP",27.7
50,3,2,"male","white",6,2497,14
44,12,"dk","female","other",.i,"IAP",37.6
33,12,6,"female","white",5,17025,18.6
34,19,12,"female","white",6,37455,26.1
46,16,8,"female","white",.25,"IAP",32
51,12,0,"male","white",2,"IAP",25.1
28,14,14,"male","black",.75,17025,23.3
74,16,6,"male","other",8,4086,14
